logFC	p-value	q-value	SYMBOL
-0.21	0.034	0.2	NSF
0.27	0.034	0.2	PRPF40B
0.79	0.034	0.2	NA
-0.2	0.034	0.2	SNX17
-0.35	0.034	0.2	LURAP1L
0.15	0.034	0.2	USP10
0.3	0.034	0.2	RPUSD1
0.37	0.034	0.2	SNORA73
-0.27	0.034	0.2	ZHX2
0.27	0.034	0.2	SPRED1
0.22	0.034	0.2	CABIN1
-0.26	0.034	0.2	C8G
-0.48	0.034	0.2	PLCD3
0.2	0.034	0.2	SLBP
0.38	0.034	0.2	FAM228B
-0.18	0.034	0.2	KATNAL1
-0.25	0.034	0.2	NA
-0.15	0.034	0.2	GPANK1
-0.24	0.035	0.2	BAD
0.45	0.035	0.2	PRDM5
-0.23	0.035	0.2	JMJD1C
0.86	0.035	0.2	TNFSF11
0.54	0.035	0.2	PRRX1
0.13	0.035	0.2	HMG20A
1.89	0.035	0.2	SHISA9
0.24	0.035	0.2	ORC5
0.72	0.035	0.2	SOX8
-0.29	0.035	0.2	FAM57A
0.15	0.035	0.2	COX15
0.47	0.035	0.2	COL27A1
-0.6	0.035	0.2	NA
-0.3	0.035	0.2	SH3D19
0.23	0.035	0.2	PPAT
0.28	0.035	0.2	ZNF567
-1.09	0.035	0.2	NA
0.28	0.035	0.2	CBX6
-0.48	0.035	0.2	CATSPER4
0.38	0.035	0.2	JAZF1
-0.22	0.035	0.2	NUDT18
0.35	0.035	0.2	DENND2A
-0.57	0.035	0.2	SMOC1
-0.28	0.035	0.2	TACC2
0.37	0.035	0.2	SLC45A3
-0.15	0.035	0.2	CDC42
-0.18	0.035	0.2	RAD52
0.6	0.035	0.2	ENPP6
0.21	0.036	0.2	RNF138
-0.21	0.036	0.2	BAG5
0.58	0.036	0.2	CYFIP2
-0.19	0.036	0.2	UBL4A
-0.19	0.036	0.2	SLC10A3
-0.47	0.036	0.2	KLF5
-0.57	0.036	0.2	CCDC64
-0.31	0.036	0.2	TMEM51
0.81	0.036	0.2	PRDM6
-0.36	0.036	0.2	SBNO2
0.25	0.036	0.2	IVNS1ABP
-0.14	0.036	0.2	SERINC1
0.68	0.036	0.2	STX1B
0.25	0.036	0.2	TUBG2
0.5	0.036	0.2	GAS2L3
-0.5	0.036	0.2	ADCK3
0.89	0.036	0.2	NA
0.24	0.036	0.2	HEATR3
0.47	0.036	0.2	DPY19L1
0.19	0.036	0.2	EHMT2
0.3	0.036	0.2	DSCC1
0.62	0.036	0.2	AGPAT4
-0.25	0.036	0.2	CUTA
1.12	0.036	0.2	ITIH2
0.46	0.036	0.2	ANGPTL6
-0.19	0.036	0.2	IRAK4
0.19	0.036	0.2	NA
-0.27	0.036	0.2	RAB40C
-0.13	0.036	0.2	TOR1A
-0.13	0.036	0.2	C11H9orf78
0.24	0.036	0.2	NA
0.86	0.036	0.2	NA
-0.17	0.036	0.2	NR1H2
0.41	0.036	0.2	RNF128
0.21	0.036	0.2	POLR3H
0.46	0.036	0.2	RHNO1
-0.32	0.036	0.2	TJP2
-0.66	0.036	0.2	ACKR1
-0.21	0.036	0.2	RFC2
0.44	0.036	0.2	ZSWIM5
0.36	0.036	0.2	DCBLD2
1.04	0.036	0.2	CSMD3
-0.24	0.037	0.2	OSBPL11
0.28	0.037	0.2	SPATS2
0.29	0.037	0.2	CDK2
-0.85	0.037	0.2	MT2A
0.41	0.037	0.2	NA
0.32	0.037	0.2	LAMA2
0.57	0.037	0.2	SLFN11
0.19	0.037	0.2	CARNMT1
0.19	0.037	0.2	C8H9orf40
0.19	0.037	0.2	BACE1
0.21	0.037	0.2	PEX7
0.29	0.037	0.2	NDUFA5
-0.37	0.037	0.2	C29H11orf24
0.33	0.037	0.2	RBBP9
-0.26	0.037	0.2	NA
0.21	0.037	0.2	NA
-0.14	0.037	0.2	HACE1
0.16	0.037	0.2	TSFM
0.16	0.037	0.2	METTL21B
-0.17	0.037	0.2	TTI2
0.36	0.037	0.2	AHSA2
0.21	0.037	0.2	NDUFB5
0.15	0.037	0.2	NA
0.25	0.037	0.21	DNAJA1
0.5	0.037	0.21	PCDHB14
0.92	0.037	0.21	NA
-0.24	0.037	0.21	ARID4A
0.27	0.037	0.21	LOC508153
-0.19	0.037	0.21	AKT2
0.29	0.037	0.21	RFWD3
-0.2	0.037	0.21	TMEM251
0.56	0.037	0.21	NA
0.41	0.037	0.21	RSPH10B
-0.14	0.037	0.21	GMEB2
0.31	0.037	0.21	FILIP1
0.79	0.037	0.21	KCNA1
0.22	0.037	0.21	CMBL
0.16	0.038	0.21	C28H1orf131
-0.41	0.038	0.21	NA
1.28	0.038	0.21	MDGA2
0.3	0.038	0.21	NA
-0.41	0.038	0.21	DDAH2
-0.41	0.038	0.21	CLIC1
-0.15	0.038	0.21	CEPT1
-0.6	0.038	0.21	NOX4
0.55	0.038	0.21	POU2AF1
0.29	0.038	0.21	HELB
-0.11	0.038	0.21	FBXW2
0.15	0.038	0.21	ERCC2
0.5	0.038	0.21	ICOS
-0.62	0.038	0.21	ZMYND12
-0.32	0.038	0.21	TMEM109
-0.27	0.038	0.21	ZMAT5
0.51	0.038	0.21	RAD51
0.24	0.038	0.21	RSL1D1
-1.1	0.038	0.21	ANGPTL4
0.56	0.038	0.21	WDHD1
-0.43	0.038	0.21	ITPKA
0.17	0.038	0.21	FOXRED1
-0.34	0.038	0.21	NA
-0.35	0.038	0.21	PRELID1
0.63	0.038	0.21	MCM3
0.32	0.038	0.21	CDCA7L
0.92	0.038	0.21	KIAA1324
0.25	0.038	0.21	MARS2
-0.32	0.038	0.21	NA
0.29	0.038	0.21	ST6GALNAC4
0.29	0.038	0.21	ST6GALNAC6
-0.14	0.038	0.21	TRIP4
0.16	0.038	0.21	IMPAD1
-0.38	0.038	0.21	KALRN
-0.12	0.038	0.21	RBM17
-0.31	0.038	0.21	TMEM220
-0.35	0.038	0.21	RAB11FIP4
-0.18	0.038	0.21	AKAP13
0.6	0.038	0.21	SCN2A
-0.2	0.038	0.21	ASB6
0.92	0.038	0.21	MFAP3L
-0.19	0.038	0.21	ELOVL1
-0.19	0.038	0.21	NA
0.28	0.039	0.21	ELMO1
0.71	0.039	0.21	RPL3L
-0.31	0.039	0.21	PAM16
0.32	0.039	0.21	ALG3
0.24	0.039	0.21	MTBP
-0.48	0.039	0.21	SPATA9
-0.25	0.039	0.21	NA
0.58	0.039	0.21	PON3
0.5	0.039	0.21	TMEM178A
1.07	0.039	0.21	ADAMTS18
0.56	0.039	0.21	PLK5
0.16	0.039	0.21	NAB1
0.76	0.039	0.21	ATP10B
-0.32	0.039	0.21	MYADM
-0.2	0.039	0.21	GRINA
0.53	0.039	0.21	CHD5
-0.38	0.039	0.21	MLKL
1.01	0.039	0.21	PLPPR1
0.32	0.039	0.21	DFNB31
0.57	0.039	0.21	EPHA7
-0.57	0.039	0.21	LSMEM1
0.57	0.039	0.21	CROCC2
0.21	0.039	0.21	PRR12
-0.12	0.039	0.21	SUGT1
0.21	0.039	0.21	MRGBP
-0.18	0.039	0.21	TMEM50B
0.35	0.039	0.21	TDP1
0.12	0.039	0.21	C19H17orf80
0.62	0.039	0.21	ITIH3
-0.33	0.039	0.21	NA
0.45	0.039	0.21	NA
0.21	0.039	0.21	DNAJC28
0.39	0.039	0.21	NA
-0.18	0.039	0.21	PPP1R7
0.27	0.039	0.21	TUB
-0.16	0.039	0.21	PEX14
-0.98	0.039	0.21	NA
-0.26	0.039	0.21	CTPS2
-0.55	0.039	0.21	CYP51A1
-0.36	0.039	0.21	IDH3A
-0.73	0.04	0.21	CNGA3
-0.33	0.04	0.21	DNASE2
0.67	0.04	0.21	NA
-0.34	0.04	0.21	CHFR
-0.23	0.04	0.21	CTTN
0.19	0.04	0.21	CKAP5
-0.62	0.04	0.21	NA
-0.14	0.04	0.21	CCDC9
-0.15	0.04	0.21	STK25
0.47	0.04	0.21	SLC43A3
0.23	0.04	0.21	HSDL2
0.5	0.04	0.21	CABYR
0.54	0.04	0.21	GYLTL1B
0.34	0.04	0.21	SNORD29
-0.72	0.04	0.21	IFNLR1
-0.24	0.04	0.21	LANCL2
-0.17	0.04	0.21	CLPX
-0.17	0.04	0.21	LOC100336614
-0.28	0.04	0.21	BCAM
-1.55	0.04	0.21	FGFBP1
0.15	0.04	0.21	NA
-0.35	0.04	0.21	NA
-1.12	0.04	0.21	CXCL8
-0.38	0.04	0.21	NA
0.16	0.04	0.21	ANP32E
-1.49	0.04	0.21	SPATA16
-0.77	0.04	0.21	RASD1
0.29	0.04	0.21	TREX1
0.29	0.04	0.21	ATRIP
-0.14	0.04	0.21	CRBN
-0.35	0.04	0.21	HEXA
0.3	0.04	0.21	ACOX3
0.46	0.04	0.21	TWIST1
-0.23	0.041	0.22	ACBD6
0.42	0.041	0.22	NA
-0.14	0.041	0.22	PITHD1
-0.46	0.041	0.22	PFN2
0.58	0.041	0.22	FHL5
-0.27	0.041	0.22	ALOX12
0.33	0.041	0.22	SETD9
0.33	0.041	0.22	WDR90
0.39	0.041	0.22	ST6GAL1
-0.29	0.041	0.22	RHOG
0.91	0.041	0.22	ESRRG
-0.85	0.041	0.22	SCARA3
-0.31	0.041	0.22	CD164
0.78	0.041	0.22	NDNF
0.36	0.041	0.22	OLFML1
0.4	0.041	0.22	CERS6
0.16	0.041	0.22	FBRSL1
-1.34	0.041	0.22	NA
0.21	0.041	0.22	HSD11B1L
0.16	0.041	0.22	POLR1B
-0.25	0.041	0.22	GAB2
-0.33	0.041	0.22	NTN4
-0.27	0.041	0.22	PRKCD
0.63	0.041	0.22	MAT1A
0.44	0.041	0.22	MEX3B
-0.26	0.041	0.22	LAMTOR1
-0.22	0.041	0.22	ZBTB4
0.26	0.041	0.22	ARMC9
0.38	0.042	0.22	NA
0.29	0.042	0.22	NA
0.74	0.042	0.22	SNORA31
0.2	0.042	0.22	STARD3NL
0.62	0.042	0.22	SH3GL3
0.3	0.042	0.22	LYRM7
0.26	0.042	0.22	DOC2B
-0.28	0.042	0.22	PPP1R3D
0.54	0.042	0.22	CYSRT1
-0.47	0.042	0.22	GPR137B
0.57	0.042	0.22	PRKCB
-0.66	0.042	0.22	NA
0.17	0.042	0.22	C7H5orf24
0.15	0.042	0.22	KIAA0922
0.24	0.042	0.22	DARS2
0.3	0.042	0.22	NA
0.7	0.042	0.22	PALM3
-0.19	0.042	0.22	APH1A
-0.21	0.042	0.22	EDEM2
0.43	0.042	0.22	SCML1
-0.66	0.042	0.22	TMEM184A
-0.28	0.042	0.22	SPATS2L
-1.18	0.042	0.22	NA
-0.24	0.042	0.22	SLC25A16
-0.13	0.042	0.22	DNAJB6
-0.26	0.042	0.22	SMIM11A
-0.25	0.042	0.22	CMIP
-0.66	0.042	0.22	BSPRY
-0.22	0.042	0.22	SRF
-0.69	0.042	0.22	SEMA3C
-0.4	0.042	0.22	FGGY
-0.21	0.042	0.22	ZFAND3
-0.6	0.042	0.22	PMVK
1.15	0.042	0.22	NA
0.19	0.042	0.22	C3H1orf109
1.03	0.043	0.22	LOC534967
0.93	0.043	0.22	RIMS4
0.98	0.043	0.22	CPZ
0.38	0.043	0.22	TANC2
-0.19	0.043	0.22	ZFYVE21
0.27	0.043	0.22	S100PBP
0.32	0.043	0.22	PPIC
-0.25	0.043	0.22	NA
-0.23	0.043	0.22	MYZAP
-0.5	0.043	0.22	TOR4A
0.24	0.043	0.22	LACE1
0.16	0.043	0.22	LOC101907544
0.77	0.043	0.22	NA
-0.22	0.043	0.22	CARM1
-0.26	0.043	0.22	LOC101904667
-0.26	0.043	0.22	AMDHD2
-0.21	0.043	0.22	DYNLRB1
-0.21	0.043	0.22	CYP20A1
-0.42	0.043	0.22	ABCB4
-0.43	0.043	0.22	SPINT2
-0.25	0.043	0.22	NME6
-0.28	0.043	0.22	SLIRP
-0.15	0.043	0.22	WASF2
0.68	0.043	0.22	CDT1
0.43	0.043	0.22	PROSER3
-0.48	0.043	0.22	PLEKHH1
0.29	0.043	0.22	NA
-0.14	0.043	0.22	CDS2
-0.13	0.043	0.22	CNEP1R1
-0.27	0.044	0.22	NA
-0.17	0.044	0.22	ARHGAP30
-0.17	0.044	0.22	USF1
-0.17	0.044	0.22	NECTIN4
-0.17	0.044	0.22	TSTD1
-0.18	0.044	0.22	LSM11
-0.19	0.044	0.22	AKIP1
0.96	0.044	0.22	NA
0.82	0.044	0.22	NA
-0.92	0.044	0.22	GJB4
-0.26	0.044	0.22	TULP3
-0.21	0.044	0.22	MKL1
0.47	0.044	0.22	EPN3
0.14	0.044	0.22	U2AF2
0.65	0.044	0.22	SLC19A3
-0.24	0.044	0.22	TPST2
-1.23	0.044	0.22	SLC47A2
0.12	0.044	0.22	SEPHS1
0.54	0.044	0.22	CNTN4
0.48	0.044	0.22	NA
0.17	0.044	0.22	TMEM39B
-0.49	0.044	0.22	LAD1
0.11	0.044	0.22	PPP6R3
0.24	0.044	0.22	ACAT1
-0.17	0.044	0.22	MGEA5
0.22	0.044	0.22	EMCN
-0.17	0.044	0.22	NUP35
-0.25	0.044	0.22	CLCN7
-0.22	0.044	0.22	RALB
-0.21	0.044	0.22	C19orf68
0.92	0.044	0.22	NA
-0.22	0.044	0.22	BAIAP2
0.2	0.044	0.22	TELO2
-0.34	0.044	0.22	NA
0.19	0.044	0.22	ORC3
0.79	0.044	0.22	NA
-0.26	0.044	0.22	TMOD3
-0.2	0.044	0.22	NA
-0.3	0.044	0.23	NHEJ1
-0.19	0.044	0.23	HGS
-0.26	0.045	0.23	CACFD1
-0.2	0.045	0.23	C28H10orf35
-0.73	0.045	0.23	STXBP6
-0.19	0.045	0.23	CXHXorf23
-0.4	0.045	0.23	USP54
0.11	0.045	0.23	SRSF4
-0.18	0.045	0.23	SSSCA1
-0.18	0.045	0.23	FAM89B
0.42	0.045	0.23	NRARP
0.33	0.045	0.23	NASP
-0.54	0.045	0.23	DNASE1L2
0.44	0.045	0.23	PTK7
-0.17	0.045	0.23	KLC4
0.17	0.045	0.23	MCTS1
0.45	0.045	0.23	SNORA11
-0.6	0.045	0.23	ST14
0.57	0.045	0.23	DNALI1
-0.3	0.045	0.23	MOG
0.58	0.045	0.23	BCL11A
-0.35	0.045	0.23	ABHD12
-0.74	0.045	0.23	SYT12
-0.14	0.045	0.23	GATAD2A
0.75	0.045	0.23	CENPE
-0.26	0.045	0.23	NA
0.13	0.045	0.23	SENP1
-0.11	0.045	0.23	NSFL1C
0.54	0.045	0.23	BEGAIN
0.46	0.045	0.23	WASF1
0.74	0.045	0.23	ETV4
0.76	0.045	0.23	VSTM5
0.75	0.046	0.23	RAB19
-0.16	0.046	0.23	ATMIN
0.45	0.046	0.23	PTN
0.53	0.046	0.23	CBS
-0.17	0.046	0.23	TMEM87B
0.4	0.046	0.23	GMNN
0.17	0.046	0.23	NUP188
-0.29	0.046	0.23	TMEM160
-0.28	0.046	0.23	NA
0.66	0.046	0.23	LOC528479
0.26	0.046	0.23	ARMCX6
-0.12	0.046	0.23	SNAPIN
-0.63	0.046	0.23	HBEGF
-0.56	0.046	0.23	NA
-0.2	0.046	0.23	PIP4K2C
0.15	0.046	0.23	HNRNPA2B1
0.18	0.046	0.23	DEPDC5
-0.14	0.046	0.23	MUS81
0.26	0.046	0.23	NEURL1B
0.19	0.046	0.23	CCDC102A
0.16	0.046	0.23	RCN2
-1.2	0.046	0.23	NA
-0.26	0.046	0.23	ZFP36L1
-0.58	0.046	0.23	NA
-0.58	0.046	0.23	PCSK1N
-0.14	0.046	0.23	POLR3F
-0.12	0.046	0.23	CRNKL1
-0.51	0.046	0.23	TTC12
-0.53	0.046	0.23	RUNDC3B
0.45	0.046	0.23	PNLDC1
-0.15	0.046	0.23	C1H21orf59
0.24	0.046	0.23	NA
-0.15	0.046	0.23	TRMU
-0.17	0.046	0.23	DDB1
-0.32	0.046	0.23	TRIM2
0.25	0.046	0.23	NA
0.61	0.046	0.23	FBXL16
0.39	0.046	0.23	TIAM1
-0.17	0.046	0.23	TRMO
0.42	0.046	0.23	ADGRA2
0.51	0.046	0.23	CLINT1
0.5	0.046	0.23	ZNF514
-0.31	0.047	0.23	NDUFB7
-0.38	0.047	0.23	PXMP2
1.16	0.047	0.23	GDF6
-0.14	0.047	0.23	IKBKG
0.64	0.047	0.23	CENPH
-0.32	0.047	0.23	DAB2IP
0.3	0.047	0.23	FKBP4
0.14	0.047	0.23	CAPRIN1
1.15	0.047	0.23	INSC
-0.21	0.047	0.23	ZMIZ2
0.13	0.047	0.23	TBC1D13
0.23	0.047	0.23	WDR12
0.65	0.047	0.23	HOXB9
-0.27	0.047	0.23	PHF13
0.42	0.047	0.23	ZNF330
0.31	0.047	0.23	C27H4orf47
0.45	0.047	0.23	PACRGL
1.77	0.047	0.23	NA
0.35	0.047	0.23	SLC9A9
-0.72	0.047	0.23	C23H6orf25
-0.14	0.047	0.23	MAP2K7
-0.14	0.047	0.23	SNAPC2
0.25	0.047	0.23	MIS12
-0.62	0.047	0.23	MET
-0.35	0.047	0.23	SLC51B
-0.27	0.047	0.23	LMO2
0.19	0.047	0.23	FOCAD
0.18	0.047	0.23	PXYLP1
-0.2	0.047	0.23	PIK3R6
-0.2	0.047	0.23	MFSD6L
-0.18	0.047	0.23	COPS7A
0.34	0.047	0.23	OAF
-0.38	0.047	0.23	COTL1
-0.13	0.048	0.23	FYCO1
-0.14	0.048	0.23	GNB1
0.16	0.048	0.23	C2CD3
0.28	0.048	0.24	FSD2
-0.19	0.048	0.24	ZXDC
-0.44	0.048	0.24	SDC4
-0.11	0.048	0.24	PAFAH1B1
0.28	0.048	0.24	NA
0.18	0.048	0.24	AGFG2
0.19	0.048	0.24	PARP1
0.38	0.048	0.24	WEE1
-0.29	0.048	0.24	EIF4E3
0.4	0.048	0.24	MDH1B
-0.25	0.048	0.24	LOC535297
-0.18	0.048	0.24	CCDC97
-0.5	0.048	0.24	GPR153
0.19	0.048	0.24	SPIN2
-0.15	0.048	0.24	LOC785111
-0.3	0.048	0.24	HSD17B11
-0.15	0.048	0.24	SMG9
-0.25	0.048	0.24	NET1
0.69	0.048	0.24	WISP2
-0.19	0.048	0.24	SCRN2
-0.2	0.048	0.24	TP53I13
-0.43	0.048	0.24	NA
-0.23	0.048	0.24	UNKL
0.15	0.049	0.24	BEND3
0.15	0.049	0.24	PDSS2
0.34	0.049	0.24	KIF7
0.14	0.049	0.24	PITRM1
-0.22	0.049	0.24	LOC785958
0.38	0.049	0.24	NA
-0.15	0.049	0.24	SPECC1L
0.32	0.049	0.24	NAP1L5
0.64	0.049	0.24	CCDC102B
-0.26	0.049	0.24	NA
-0.26	0.049	0.24	ZNF33B
-0.22	0.049	0.24	CCDC130
0.2	0.049	0.24	NA
0.72	0.049	0.24	DDN
-0.3	0.049	0.24	STOM
0.39	0.049	0.24	TRIM45
0.13	0.049	0.24	PAK1IP1
-0.18	0.049	0.24	MTHFS
-0.44	0.049	0.24	ODF3L2
-0.44	0.049	0.24	SHC2
0.56	0.049	0.24	ADAMTS17
0.27	0.049	0.24	ZNF496
-0.55	0.049	0.24	NA
-0.24	0.049	0.24	PPP2R1A
-0.33	0.049	0.24	NA
0.56	0.049	0.24	NA
-0.3	0.049	0.24	TSPAN7
-0.56	0.049	0.24	GUCY1A3
-0.48	0.049	0.24	PCDHGB1
-0.45	0.049	0.24	ELMO3
-0.36	0.049	0.24	SHE
-0.17	0.049	0.24	TRAF7
0.12	0.049	0.24	PDPR
0.29	0.05	0.24	PAG1
0.42	0.05	0.24	NA
0.48	0.05	0.24	CNNM2
-0.38	0.05	0.24	TGIF1
-0.15	0.05	0.24	ZER1
-0.18	0.05	0.24	BCAS3
-0.16	0.05	0.24	RPS6KA4
0.36	0.05	0.24	TMEM200B
-0.22	0.05	0.24	TRIOBP
-0.39	0.05	0.24	PALLD
-0.47	0.05	0.24	HOMER2
-0.16	0.05	0.24	PPP2R5A
-0.32	0.05	0.24	OSTM1
0.71	0.05	0.24	NA
0.69	0.05	0.24	NA
-0.38	0.05	0.24	FAIM
0.31	0.05	0.24	TSPYL5
-0.2	0.05	0.24	NA
-0.2	0.05	0.24	NA
-0.29	0.05	0.24	SEC61G
-0.74	0.05	0.24	ISG20
0.16	0.05	0.24	SRRT
0.16	0.05	0.24	TRIP6
1.07	0.05	0.24	LOC540707
-0.15	0.05	0.24	CTBP1
0.5	0.05	0.24	FAM155B
0.4	0.051	0.24	MCTP2
0.23	0.051	0.24	RITA1
0.41	0.051	0.24	SLC35F2
0.45	0.051	0.24	QPCT
-0.36	0.051	0.24	NA
0.26	0.051	0.24	CDC14A
-0.14	0.051	0.24	SLC9A8
-0.17	0.051	0.24	ANP32B
-0.85	0.051	0.24	PDE4C
0.12	0.051	0.24	RBM10
0.14	0.051	0.24	TMX3
0.48	0.051	0.24	NA
0.62	0.051	0.24	LOC788142
-0.18	0.051	0.24	ZRSR2
0.13	0.051	0.24	WDR13
-0.14	0.051	0.24	IKZF5
-0.13	0.051	0.24	GLTSCR1L
0.86	0.051	0.24	DMGDH
-0.27	0.051	0.24	MSRA
0.31	0.051	0.24	L2HGDH
0.31	0.051	0.24	U1
0.34	0.051	0.24	CXCR4
0.23	0.051	0.24	POLA1
-0.15	0.051	0.24	BRD8
-0.15	0.051	0.24	CDC23
-0.27	0.051	0.24	IER5
1.02	0.051	0.24	SLC44A4
0.55	0.051	0.24	GSTM3
0.44	0.051	0.24	TNFRSF11A
0.33	0.051	0.24	DCLRE1B
-0.21	0.051	0.24	TRPM7
-0.17	0.051	0.24	DGKQ
-0.32	0.051	0.24	PROSAPIP1
0.18	0.051	0.24	LRP12
0.53	0.051	0.24	NDST3
0.19	0.051	0.24	NCAPD3
0.27	0.051	0.24	RPP40
-0.19	0.052	0.24	NSMCE1
-1.03	0.052	0.24	NA
0.81	0.052	0.24	CLCA2
0.45	0.052	0.24	CHEK2
0.13	0.052	0.24	CBFA2T2
-0.76	0.052	0.24	PRKG2
0.25	0.052	0.24	IFT122
2.13	0.052	0.24	BTN1A1
-0.22	0.052	0.25	TMC4
-0.22	0.052	0.25	MBOAT7
-0.18	0.052	0.25	KCMF1
-0.18	0.052	0.25	WDR45
-0.18	0.052	0.25	PRAF2
0.38	0.052	0.25	GFRA4
0.38	0.052	0.25	ADAM33
0.52	0.052	0.25	NA
-0.26	0.052	0.25	LENG1
-0.11	0.052	0.25	MAP3K4
-0.14	0.052	0.25	ACTR2
-0.22	0.052	0.25	MTCH1
-0.28	0.052	0.25	RPS28
-0.17	0.052	0.25	ATG9A
-0.24	0.052	0.25	EFCAB11
-0.18	0.052	0.25	GOSR2
-0.54	0.052	0.25	5S_rRNA
-0.47	0.052	0.25	SLC16A10
1.83	0.052	0.25	NA
0.15	0.052	0.25	SRP19
-0.34	0.052	0.25	N4BP2L1
0.67	0.053	0.25	HENMT1
0.66	0.053	0.25	MAP3K7CL
-0.2	0.053	0.25	DGCR14
1.2	0.053	0.25	TMEM63C
0.3	0.053	0.25	ZC4H2
0.21	0.053	0.25	BCORL1
0.31	0.053	0.25	RAB34
0.16	0.053	0.25	NDRG3
-0.17	0.053	0.25	ARL8A
-0.15	0.053	0.25	LEPROTL1
0.49	0.053	0.25	ALDH1B1
0.2	0.053	0.25	BCL9L
0.39	0.053	0.25	SLC25A15
0.36	0.053	0.25	MASP1
0.2	0.053	0.25	RSRP1
0.5	0.053	0.25	CBR1
-0.19	0.053	0.25	APLP2
0.71	0.053	0.25	ME1
-0.12	0.053	0.25	RNF169
0.73	0.053	0.25	NA
0.26	0.053	0.25	LTV1
0.26	0.053	0.25	ZC2HC1B
-0.19	0.053	0.25	ADAM15
-0.28	0.053	0.25	NA
-0.37	0.053	0.25	HSPA1A
-0.94	0.053	0.25	LBP
0.64	0.053	0.25	OSR2
0.17	0.053	0.25	TM7SF3
0.25	0.053	0.25	FANCL
0.7	0.053	0.25	KIF25
0.42	0.053	0.25	BAHCC1
-0.93	0.053	0.25	NA
-0.25	0.053	0.25	ITPRIPL2
0.19	0.053	0.25	TMEM241
0.31	0.053	0.25	DAAM2
-0.15	0.053	0.25	RSC1A1
-0.15	0.053	0.25	LOC515551
0.27	0.053	0.25	RUNX1T1
-0.31	0.054	0.25	RNF125
-0.21	0.054	0.25	RELA
-0.34	0.054	0.25	FAM110D
-0.26	0.054	0.25	TES
-0.18	0.054	0.25	PCGF1
0.36	0.054	0.25	FOXP4
-0.32	0.054	0.25	CLEC1A
-0.32	0.054	0.25	CLEC7A
-0.18	0.054	0.25	NSMAF
-0.43	0.054	0.25	FCGR3A
-0.2	0.054	0.25	U6
-0.2	0.054	0.25	CLEC2D
-0.61	0.054	0.25	IGFBP3
-0.39	0.054	0.25	AMOTL2
0.49	0.054	0.25	ARHGAP26
0.45	0.054	0.25	NA
0.55	0.054	0.25	NTF4
0.55	0.054	0.25	LHB
0.63	0.054	0.25	NA
-0.24	0.054	0.25	FHDC1
2.21	0.054	0.25	SPADH1
1.04	0.054	0.25	MCF2
-0.19	0.054	0.25	SLC20A1
-0.36	0.054	0.25	TJP3
-0.26	0.054	0.25	PRORSD1
-0.23	0.054	0.25	NA
-0.13	0.054	0.25	ANAPC1
-0.15	0.054	0.25	SLC25A32
0.18	0.054	0.25	KAT2A
0.28	0.054	0.25	TMTC2
0.2	0.054	0.25	DKC1
0.2	0.054	0.25	SNORA36
-0.43	0.055	0.25	ANKRD2
0.48	0.055	0.25	SMPDL3B
0.37	0.055	0.25	SNORD10
-0.23	0.055	0.25	RPL37A
0.18	0.055	0.25	SUPT7L
-0.13	0.055	0.25	LCMT1
-0.38	0.055	0.25	HES2
-0.2	0.055	0.25	AATF
0.34	0.055	0.25	NIP7
0.77	0.055	0.25	NLGN1
0.2	0.055	0.25	PLCB4
0.35	0.055	0.25	TRPC2
0.48	0.055	0.25	TMEM176A
0.81	0.055	0.25	EPHA6
0.33	0.055	0.25	TMEM136
-0.23	0.055	0.25	ANAPC10
0.54	0.055	0.25	SPATA25
-0.15	0.055	0.25	CCDC142
-0.15	0.055	0.25	MRPL53
0.22	0.055	0.25	ZBTB9
-0.23	0.055	0.25	LOC100850176
-0.28	0.055	0.25	LOC786966
0.16	0.055	0.25	NUP160
-0.22	0.055	0.25	ZDHHC18
-0.81	0.055	0.25	EXPH5
-0.35	0.055	0.25	LARGE
0.2	0.055	0.25	NA
-0.48	0.055	0.25	CCNYL1
0.52	0.055	0.25	PROKR1
0.36	0.055	0.25	PLXNA4
-0.25	0.055	0.25	CNST
-0.13	0.055	0.25	THTPA
-0.23	0.055	0.25	LATS2
0.25	0.055	0.25	SLC25A20
0.41	0.055	0.25	CBARP
0.14	0.056	0.25	PTPN1
-0.21	0.056	0.25	CEP68
0.32	0.056	0.25	DTD2
-0.15	0.056	0.25	YWHAZ
0.23	0.056	0.25	EML4
-0.16	0.056	0.25	C9H6orf203
-0.19	0.056	0.25	INSIG2
-1.04	0.056	0.25	THBS2
0.54	0.056	0.25	NA
-0.56	0.056	0.25	GPR160
-0.22	0.056	0.25	YIPF2
0.75	0.056	0.25	COCH
0.19	0.056	0.25	GPT
0.19	0.056	0.25	PPP1R16A
0.33	0.056	0.25	C18H19orf48
0.33	0.056	0.25	SNORD88
0.2	0.056	0.25	MBD4
-0.2	0.056	0.25	AP2A1
0.63	0.056	0.25	EPHB1
0.91	0.056	0.25	CACNA1G
-0.17	0.056	0.26	MCOLN1
-0.17	0.056	0.26	PNPLA6
0.12	0.056	0.26	TUBGCP3
-0.24	0.056	0.26	MVB12A
0.23	0.056	0.26	ZFPM1
0.13	0.056	0.26	ASXL1
-0.22	0.056	0.26	IL17RA
-0.22	0.056	0.26	CACNA1C
-0.14	0.056	0.26	CLYBL
1.01	0.056	0.26	PLPP4
-0.53	0.056	0.26	WNT2B
0.36	0.056	0.26	HAS3
0.36	0.056	0.26	TANGO6
